pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1268,301298.SZ,东利机械,0.38739946380697066,37.6953125,1.4399877332789213,1.5027917232863073,0.7128081078622723,0.8481090031927236,108204492.0,13.11,13.25,13.07,13.16,1379100.0,18135470.0,0.22848438690021844,20.0,15.76,False,False,True,60.78524399690163
1269,600346.SH,恒力石化,0.38091286307053956,34.34959349593496,1.9547771425678324,0.5266674621339085,0.8859676583247272,1.3038793381908982,7039099786.0,19.46,19.93,19.1,19.16,48338260.0,942325070.0,-0.9819121447028456,10.0,21.29,False,False,True,60.7126258714175
1270,000665.SZ,湖北广电,0.14673913043478273,27.195467422096332,2.095657769615757,1.98979321685882,1.4996492021673211,2.022301471331042,1137119780.0,4.04,4.29,4.04,4.24,45757265.0,191522400.0,4.176904176904173,10.0,4.48,False,False,True,60.708752904725024
1271,688078.SH,龙软科技,0.39598811292719177,29.426816786079833,1.6740049825085275,1.2093352585296209,0.9425156503097987,1.93044236338169,72893000.0,24.88,25.99,24.85,25.9,1701725.0,43393789.0,4.1415359871330715,20.0,29.84,False,False,True,60.69326103795507
1272,300261.SZ,雅本化学,0.15945330296127563,35.36299765807964,1.6391246876086754,1.8964010613364841,1.3563286146778992,0.6904198746125765,942830489.0,4.96,5.09,4.96,5.06,12344602.0,62428781.0,1.810865191146882,20.0,5.96,False,False,True,60.65646785437645
1273,301503.SZ,智迪科技,0.2925219941348975,28.914348063284233,1.647832959424807,1.6420084795727212,1.0701279863481228,2.4314577008067633,57668000.0,22.43,23.66,21.9,22.99,2302380.0,52550081.0,3.001792114695334,20.0,26.78,False,False,True,60.62742060418282
1274,000637.SZ,茂化实华,0.36466165413533824,31.914893617021267,1.3648844498818569,2.248228770726004,0.7868437586334602,1.289794294339183,364589305.0,4.28,4.39,4.24,4.35,10572188.0,45970019.0,2.1126760563380254,10.0,4.69,False,False,True,60.61580170410535
1275,001328.SZ,登康口腔,0.22269579115610014,36.04938271604938,1.6986311893155002,1.1813207215819694,1.258114062311178,0.8705842416641268,161716900.0,28.41,29.44,28.36,29.09,1663160.0,48391631.0,2.141853932584259,10.0,31.33,False,False,True,60.60999225406661
1276,600571.SH,信雅达,0.1928205128205127,29.06077348066296,1.612542488922474,2.3379610124574404,1.3113535144536386,0.7064282557248917,457751703.0,10.9,11.2,10.88,11.14,7560235.0,84196605.0,1.921317474839901,10.0,12.02,False,False,True,60.54027885360186
1277,301272.SZ,英华特,0.2976973684210526,38.42887473460721,1.4151358110074437,1.85933396892791,0.810340345966316,0.8571010041211988,39686323.0,35.49,35.95,35.22,35.29,601200.0,21322854.0,-0.5915492957746515,20.0,42.6,False,False,True,60.53446940356314
